,date,position
82,2016-07-20,"['OI611', 'RI705', 'SM609', 'SM611', 'SM612', 'SM610', 'SM702', 'SM703', 'SM704', 'FG703']"
83,2016-07-21,"['JR703', 'SM609', 'SM611', 'SM612', 'RI705', 'SM610', 'SM702', 'SM703', 'SM704', 'JR609']"
84,2016-07-22,"['SM609', 'SM611', 'SM612', 'JR703', 'SM610', 'SM702', 'SM703', 'SM704', 'RI705', 'SF610']"
85,2016-07-25,"['SM609', 'SM611', 'SM612', 'SM610', 'JR703', 'SM702', 'SM703', 'SM704', 'RI705', 'SF610']"
86,2016-07-26,"['SM609', 'SM611', 'SM610', 'SM612', 'SM704', 'SM703', 'SM702', 'JR703', 'SF609', 'SF610']"
87,2016-07-27,"['SM609', 'SM611', 'SM610', 'SM704', 'SM703', 'SM702', 'SM701', 'JR703', 'SF609', 'SF610']"
88,2016-07-28,"['SM609', 'SM611', 'SM610', 'SM612', 'SM704', 'SM703', 'SM702', 'SM701', 'SF609', 'SF610']"
89,2016-07-29,"['SM609', 'SM611', 'SM610', 'SM612', 'SM703', 'SM702', 'SM704', 'SM701', 'SM705', 'SF704']"
90,2016-08-01,"['SM609', 'SM611', 'SM610', 'SM612', 'SM703', 'SM704', 'SM702', 'SM705', 'SM701', 'SF704']"
91,2016-08-02,"['SM612', 'SM705', 'SF704', 'SF703', 'SF702', 'ZC612', 'ZC611', 'JR701', 'RS611', 'RS609']"
92,2016-08-03,"['SM609', 'SM611', 'SM610', 'SM612', 'SM702', 'SM703', 'SM704', 'SM705', 'SM701', 'SF703']"
93,2016-08-04,"['SM609', 'SM611', 'SM610', 'SM706', 'SM612', 'SM704', 'SM703', 'SM702', 'SM705', 'SM701']"
94,2016-08-05,"['SM609', 'SM611', 'SM610', 'SM706', 'SM612', 'SM703', 'SM704', 'SM702', 'SM705', 'SM701']"
95,2016-08-08,"['SM609', 'SM611', 'SM610', 'SM706', 'SM704', 'SM703', 'SM702', 'SM612', 'SM705', 'SM701']"
96,2016-08-09,"['SM609', 'SM611', 'SM610', 'SM704', 'SM703', 'SF609', 'SF701', 'SM608', 'FG608', 'FG609']"
97,2016-08-10,"['SM611', 'SM610', 'SM612', 'SM608', 'FG608', 'FG609', 'FG610', 'FG611', 'ZC609', 'ZC610']"
98,2016-08-11,"['SM612', 'SF704', 'SF612', 'SF703', 'SF701', 'SF611', 'FG608', 'FG609', 'FG610', 'FG611']"
99,2016-08-12,"['SF702', 'SF704', 'SF703', 'SF701', 'MA705', 'ZC609', 'MA608', 'ZC610', 'MA701', 'ZC612']"
100,2016-08-15,"['SF702', 'MA705', 'MA701', 'FG701', 'FG703', 'FG612', 'MA703', 'MA704', 'FG702', 'ZC612']"
101,2016-08-16,"['FG610', 'MA705', 'MA701', 'FG703', 'FG701', 'MA704', 'MA703', 'FG612', 'MA612', 'MA611']"
102,2016-08-17,"['FG611', 'FG610', 'MA705', 'FG703', 'FG701', 'MA701', 'FG612', 'FG702', 'FG704', 'MA703']"
103,2016-08-18,"['FG609', 'FG611', 'FG610', 'FG703', 'SF706', 'FG701', 'FG612', 'MA701', 'FG702', 'MA706']"
104,2016-08-19,"['SF701', 'FG611', 'FG703', 'FG609', 'FG701', 'FG610', 'JR609', 'FG612', 'FG702', 'FG704']"
105,2016-08-22,"['FG703', 'SF706', 'FG611', 'FG701', 'FG610', 'FG609', 'FG612', 'FG702', 'FG704', 'FG705']"
106,2016-08-23,"['SF706', 'FG703', 'FG701', 'FG610', 'FG612', 'FG702', 'FG704', 'OI705', 'FG705', 'FG706']"
107,2016-08-24,"['SF706', 'FG703', 'FG611', 'FG701', 'FG610', 'FG702', 'FG612', 'FG705', 'FG706', 'FG704']"
108,2016-08-25,"['OI705', 'OI701', 'FG611', 'FG610', 'OI609', 'OI611', 'ZC706', 'ZC707', 'SR701', 'SR709']"
109,2016-08-26,"['FG611', 'FG610', 'ZC706', 'MA610', 'WH611', 'SR711']"
110,2016-08-29,"['FG703', 'FG611', 'FG610', 'FG701', 'FG705', 'FG612', 'FG702', 'FG706', 'FG704', 'TA611']"
111,2016-08-30,"['TA612', 'TA611', 'TA701', 'TA610', 'TA705', 'TA609', 'RI703', 'PM611', 'WH611', 'RI609']"
112,2016-08-31,"['SR701', 'SR703', 'SR709', 'SR705', 'SR609', 'TA611', 'TA612', 'SR611', 'RI703', 'TA610']"
113,2016-09-01,"['SF707', 'SF706', 'FG609', 'SR709', 'RI703', 'PM611', 'SF610', 'SF611', 'RI609', 'RI611']"
114,2016-09-02,"['SF707', 'SF705', 'FG609', 'PM611', 'SF611', 'SF704']"
115,2016-09-05,"['SF707', 'SF706', 'SF705', 'FG609', 'RI703', 'SF609', 'SF610', 'PM611', 'SF704', 'RI609']"
116,2016-09-06,"['SF707', 'SF706', 'SR701', 'SR609', 'SR801', 'SR611', 'SR705', 'SR703', 'SR709', 'SF609']"
117,2016-09-07,"['SF707', 'SF704', 'SR701', 'SR609', 'SR611', 'SF610', 'SR801', 'SF609', 'SR705', 'SR703']"
118,2016-09-08,"['SF704', 'SF610', 'SF609', 'SF701', 'SR701', 'SF612', 'SR611', 'SR609', 'SR711', 'SR703']"
119,2016-09-09,"['SF704', 'SF705', 'SF610', 'SF609', 'SF701', 'SF612', 'SF702', 'SR611', 'SR701', 'SR711']"
120,2016-09-12,"['SF705', 'SF701', 'SF610', 'SF609', 'SF612', 'SF611', 'SR711', 'PM611', 'MA611', 'PM609']"
121,2016-09-13,"['SF705', 'SF701', 'SF702', 'SF610', 'SF609', 'SF612', 'SF611', 'MA611', 'WH611', 'MA610']"
122,2016-09-14,"['SF701', 'SF702', 'SF705', 'SF610', 'SF609', 'SF612', 'SR611', 'SF611', 'SM707', 'SM706']"
123,2016-09-19,"['SM707', 'SM706', 'SM702', 'SM704', 'SM703', 'SM701', 'SR611', 'SM612', 'WH611', 'SM705']"
124,2016-09-20,"['SF701', 'SM706', 'SM707', 'SM702', 'SM703', 'SM704', 'SM701', 'SF610', 'SF612', 'SM612']"
125,2016-09-21,"['SF701', 'SF702', 'SF705', 'SM707', 'SM706', 'SM702', 'SM704', 'SM703', 'SM701', 'SF704']"
126,2016-09-22,"['SF701', 'SM706', 'SM707', 'SF702', 'SM704', 'SM703', 'SM612', 'SM702', 'SM701', 'SF705']"
127,2016-09-23,"['SM706', 'SM707', 'SF701', 'SM704', 'SM703', 'SM701', 'SM702', 'SM612', 'SF705', 'SF702']"
