,0
215,115159159.1737244
216,113995369.32159793
217,114501879.00062075
218,116769051.0518002
219,116473417.54914518
220,116128227.93655568
221,116219467.64892861
222,116299522.23898749
223,117274892.62551098
224,117192398.0784935
225,118090465.28458206
226,117837837.76517825
227,119259531.43545309
228,118466312.11503984
229,119402644.96278015
230,119405560.71982464
231,119536658.65876032
232,119859489.53117384
233,120363951.97250713
234,120117473.83274052
235,121004043.97861739
236,120882691.39101051
237,120131288.23656735
238,120002536.39792658
239,119629524.77782844
240,120821426.62461802
241,120806502.88218802
242,120728068.27216217
243,120814808.08337417
244,121123849.711963
245,121322837.11813466
246,121306442.61539188
247,121329673.15021141
248,121119973.07108752
249,121548373.19430289
250,121308025.10404755
251,121414867.9594893
252,121221719.66913067
253,121264111.48168102
254,120520829.33967249
255,120243057.51659147
256,120601123.60823809
257,120895502.65152007
258,120304049.44303258
259,120335015.73943101
260,120837882.82947996
261,121159627.66887367
262,121234654.68933699
263,120711740.36651187
264,120568906.37988499
265,120352036.2238224
266,119505875.20131999
267,119672219.70828164
268,120304629.10893205
269,120921164.99055633
270,121301290.7344666
271,120711423.24981233
272,121137841.59778318
273,121592190.53791128
274,121051520.85935794
275,120865357.2856297
276,120605016.52087966
277,120553717.1579915
278,120650352.98087782
279,120806135.08729564
280,121621037.15265003
281,121196956.98778868
282,121444758.39685154
283,122145630.36946723
284,122989595.81864284
285,123062781.49617685
286,121979673.78813003
287,121673054.54615313
288,121106758.56285849
289,120998962.55015098
290,121226746.7416987
291,120405453.15345742
292,120574763.46488523
293,119920195.86753154
294,120215555.20627056
295,119938662.34939356
296,120570046.17466827
297,121208030.73098734
298,121257352.22957109
299,121586001.66803043
300,122041874.56333704
301,122575715.08390573
302,123178375.2719569
303,122622299.29267132
304,123879251.90532301
305,123878430.26437873
306,122790869.28883845
307,123036235.02016605
308,123574459.11731383
309,123541643.02655062
310,123339192.37446116
311,123290781.8381438
312,123943090.97383672
313,123642741.029567
314,124307930.5912972
315,125025974.40344262
316,124158847.56229348
317,124400379.84318551
318,124143398.16178852
319,124105759.34452473
320,124341233.40439487
321,124236635.92019369
322,124165822.40940516
323,124279766.66843215
324,123860800.41683267
325,124208280.8775377
326,123737963.8941848
327,123360832.06067538
328,124079947.0803726
329,124630079.62158006
330,124629945.3660798
331,124640869.19335355
332,124429623.5231706
333,123319513.97613369
334,123177393.68836704
335,123012245.30293453
336,122755667.87719156
337,123298662.85633546
338,123084766.66988762
339,122976259.57129449
340,122697219.22303976
341,121715165.82452953
342,122361673.63484551
343,121228469.91911814
344,121227303.21992382
345,121053285.97046241
346,120275254.10025269
347,120886092.86437052
348,119710412.19177744
349,119215657.62047201
350,119233236.17098595
351,119150583.64755403
352,119178725.07318975
353,118939171.07760623
354,118572048.78909147
355,119151309.24114586
356,119141023.38917407
357,118857803.84070535
358,119130293.1001409
359,118238110.62650406
360,118815697.74275993
361,118873105.51410507
362,119283786.4704398
363,119022783.67497775
364,120138415.34032372
365,120201324.4559056
366,120003391.1959221
367,120606995.06661372
368,120928255.18667535
369,120361221.89499202
370,120205944.10051492
371,120213204.85680582
372,120363356.67971377
373,120156195.26172608
374,119371673.29168977
375,119346250.54181495
376,119682573.98623022
377,120555017.99793896
378,120593030.15817583
379,121286293.11047658
380,120972161.27862078
381,120943797.74331802
382,122105307.27268621
383,121055786.18530872
384,120552670.60647917
385,119967699.99485037
386,120756068.50882708
387,119827734.1733847
388,120224178.49368018
389,120222893.96312477
390,119680411.74395353
391,119085798.27263741
392,119023962.98451132
393,118974924.0172342
394,118207543.33001608
395,118611224.44547881
396,118716091.27698478
397,119611106.51433857
398,118958034.20055574
399,118554788.88354659
400,118487835.91745825
401,118436529.78190738
402,117862255.90700631
403,117992977.32082503
404,118323870.1830177
405,117197291.87140378
406,116934473.95987907
407,117338085.0013923
408,118112491.38573298
409,118259598.91303416
410,118415969.82872353
411,118773925.04229988
412,118793339.73794656
413,118791651.27934502
414,118498781.30820343
415,118335773.26959078
416,117087963.20224139
417,117584594.45216815
418,116841772.70599537
419,115735098.9458149
420,114559289.16738193
421,114694418.75867975
422,114618892.64866292
423,113940656.1139355
424,114030114.78830382
